DB00001	Lepirudin	OTQCKZUSUGYWBD-BRHMIFOHSA-N
DB04642	7-{26-DICHLORO-4-[3-(2-CHLORO-BENZOYL)-UREIDO]-PHENOXY}-HEPTANOIC ACID	XQTOWNDCHQJXOQ-UHFFFAOYSA-N
DB04643	4-{3-CHLORO-4-[3-(24-DICHLORO-BENZOYL)-UREIDO]-PHENOXY}-BUTYRIC ACID	FYQVFMLCZJZZEM-UHFFFAOYSA-N
DB04644	4-{4-[3-(24-DICHLORO-BENZOYL)-UREIDO]-23-DIMETHYL-PHENOXY}-BUTYRIC ACID	FCEMCUPAYRPTLS-UHFFFAOYSA-N
DB04645	5-{3-[3-(24-DICHLORO-BENZOYL)-UREIDO]-2-METHYL-PHENOXY}-PENTANOIC ACID	NJJIFGCFUDDBSP-UHFFFAOYSA-N
DB04646	Dibromothymoquinone	GHHZELQYJPWSMG-UHFFFAOYSA-N
DB04647	BOC-GAMMA-D-GLU-L-LYS(CBZ)-D-BOROALA	OTTYWVUOPWENAJ-HOJAQTOUSA-N
DB04648	S-propylamine-L-cysteine	RYOVYWMBACBGOD-ZCFIWIBFSA-N
DB04649	TETRAHEDRAL INTERMEDIATE OF BLASTICIDIN S	MVFPGTZTOAHVBP-HXYLPHSESA-N
DB04650	5-[(3AS4R6AR)-2-OXOHEXAHYDRO-1H-THIENO[34-D]IMIDAZOL-4-YL]PENTANOIC ACID	YBJHBAHKTGYVGT-OOZYFLPDSA-N
DB04651	BIOTINOL-5-AMP	KBOGUFFJCBPJEH-SQGSUPJISA-N
DB04652	Corticosterone	OMFXVFTZEKFJBZ-HJTSIMOOSA-N
DB04653	CBZ-LEU-LEU-TYR-CH2F	JCRSHQCFRMCMOC-GSDHBNRESA-N
DB04654	4-PIPERIDIN-4-YLBUTANAL	HADYAKDSDIXWOF-UHFFFAOYSA-N
DB04655	Metoprine	VQJHOPSWBGJHQS-UHFFFAOYSA-N
DB04656	134-TRIHYDROXY-5-(3-PHENOXYPROPYL)-CYCLOHEXANE-1-CARBOXYLIC A CID	SCUFESRLGCQXRX-DCDXPUDHSA-N
DB04657	Carboxin	GYSSRZJIHXQEHQ-UHFFFAOYSA-N
DB04658	(1S2R3S4R5S)-8-AZABICYCLO[3.2.1]OCTANE-1234-TETROL	FXFBVZOJVHCEDO-IBISWUOJSA-N
DB04659	(1S2S3R4S5S)-234-TRIHYDROXY-5-(HYDROXYMETHYL)CYCLOHEXYL (1E)-2-PHENYL-N-(SULFOOXY)ETHANIMIDOTHIOATE	LZDZCEOFJWRJIA-GGASBGQWSA-N
DB04660	Choline alfoscerate	SUHOQUVVVLNYQR-MRVPVSSYSA-N
DB04661	cis-tetracosenoyl sulfatide	ZZQWQNAZXFNSEP-JCOQVFCVSA-N
DB04662	OLOMOUCINE II	NDUVSANREQEDRE-CQSZACIVSA-N
DB04663	2-KETO-6-PHOSPHATE-D-GLUCONIC ACID ALPHA-FURANOSE FORM	LXQWHMQOSMCJIZ-ZGEUXELVSA-N
DB04664	Cyclohexyl-pentyl-maltoside	RVTGFZGNOSKUDA-ZNGNCRBCSA-N
DB04665	Coumarin	ZYGHJZDHTFUPRJ-UHFFFAOYSA-N
DB04666	CHROMOPHORE (LYS-TYR-GLY)	WMFQEYFPYHFWRF-GFAPJHNFSA-N
DB04667	CHROMOPHORE (HIS-TYR-GLY)	XQYFXZGKDDMSCJ-ZDUSSCGKSA-M
DB04668	CHROMOPHORE (GLU-TYR-GLY)	HQWMTGYOYORUQE-ZLCHUIHLSA-N
DB04669	TRIAZOLOPYRIMIDINE	YWBFPKPWMSWWEA-UHFFFAOYSA-O
DB04671	L-CYSTEIN-S-1-(IMINOMETHYL)-L-ORNITHINE	FBDBZWJNHYXEKT-WDSKDSINSA-O
DB04672	Cyclic 3'5'-thymidine monophosphate	XLPGURCDSRIXFL-JGVFFNPUSA-N
DB04673	4-[(5-CHLOROINDOL-2-YL)SULFONYL]-2-(2-METHYLPROPYL)-1-[[5-(PYRIDIN-4-YL)PYRIMIDIN-2-YL]CARBONYL]PIPERAZINE	JUUFKVAFKAKWRV-JOCHJYFZSA-N
DB04674	2-HYDROXY-35-DIIODOBENZOIC ACID	DHZVWQPHNWDCFS-UHFFFAOYSA-N
DB04676	Dansyllysine	VQPRNSWQIAHPMS-HNNXBMFYSA-N
DB04677	N-METHYL-N-[(1R)-1-METHYL-2-PHENYLETHYL]PROP-2-EN-1-AMINE	BVYBGDRWIWQPOV-GFCCVEGCSA-N
DB04678	H TYPE II TRISACCHARIDE	PHTAQVMXYWFMHF-QVPNGJTFSA-N
DB04679	H TYPE I TRISACCHARIDE	MGSDFCKWGHNUSM-QVPNGJTFSA-N
DB04680	GALACTOSE GREASE	ZJZBQHWSENWEMY-DZQJYWQESA-N
DB04681	BETA-METHYLLACTOSIDE	FHNIYFZSHCGBPP-ABBMIVAOSA-N
DB04682	Octylphenoxy polyethoxyethanol	WEGJDERSZWOWIB-UHFFFAOYSA-N
DB04683	(2R)-3-{[{[(2S)-23-DIHYDROXYPROPYL]OXY}(HYDROXY)PHOSPHORYL]OXY}-2-[(9E)-HEXADEC-9-ENOYLOXY]PROPYL (9E)-OCTADEC-9-ENOATE	QGIXWNRQEFVVRM-CTDKCSBDSA-N
DB04684	BIS(HEXAMETHYLENE)TRIAMINE	MRNZSTMRDWRNNR-UHFFFAOYSA-N
DB04685	1-{(2S5S)-4-FLUORO-5-[(TRITYLOXY)METHYL]TETRAHYDROFURAN-2-YL}PYRIMIDINE-24(1H3H)-DIONE	GJNIPWYJQUGERM-BFLUCZKCSA-N
DB04686	CHROMOPHORE (ASP-TYR-GLY)	PGTRRWBPGBMHIF-QIMWGGGBSA-N
DB04687	DIMETHYL THIOPHOSPHATE	WWJJVKAEQGGYHJ-UHFFFAOYSA-N
DB04688	Methylecgonine	QIQNNBXHAYSQRY-UYXSQOIJSA-N
DB04689	2-{5-[3-(6-BENZOYL-1-PROPYLNAPHTHALEN-2-YLOXY)PROPOXY]INDOL-1-YL}ETHANOIC ACID	ZXWVCCFKIRBLDP-UHFFFAOYSA-N
DB04690	Camptothecin	VSJKWCGYPAHWDS-FQEVSTJZSA-N
DB04691	2'-O-[1-ETHYL-1H-IMIDAZOL)] THYMIDINE-5'-MONOPHOSPHATE	WIDKIMZIZVKQGR-HKUMRIAESA-N
DB04692	Ethyl (2E)-4-({(2S)-2-[(N-{[(2-methyl-2-propanyl)oxy]carbonyl}-L-valyl)amino]-2-phenylacetyl}amino)-5-[(3S)-2-oxo-3-pyrrolidinyl]-2-pentenoate	NUDVEHBHDBJSMD-XBEUYHOESA-N
DB04693	(13S)-13-METHYLDODECAHYDRO-1H-CYCLOPENTA[A]PHENANTHRENE-317(2H4H)-DIONE	CRDKSBHJIGNEOH-IMRIKWHGSA-N
DB04694	26-anhydro-3-deoxy-3-fluoronononic acid	KOWJBKIDVGQXJZ-QMFVTVPYSA-N
DB04695	Farnesyl thiopyrophosphate	MYMLCRQRXFRQGP-YFVJMOTDSA-N
DB04696	4-CHLORO-3'3''-DIBROMOPHENOL-18-NAPHTHALEIN	GFGZCXHXQCQRFP-UHFFFAOYSA-N
DB04697	TRANS-4-(GUANIDINOMETHYL)-CYCLOHEXANE-L-YL-D-3-CYCLOHEXYLALANYL-L-AZETIDINE-2-YL-D-TYROSINYL-L-HOMOARGININAMIDE	PCCHJIAHIWBHDQ-CNXMXSPQSA-N
DB04698	N-(14-DIHYDRO-5H-TETRAZOL-5-YLIDENE)-9-OXO-9H-XANTHENE-2-SULFONAMIDE	HJWYZPGYPZNDTN-UHFFFAOYSA-N
DB04699	gamma-butyrolactone	YEJRWHAVMIAJKC-UHFFFAOYSA-N
DB04700	GLUTATHIONE SULFINATE	DMAPAHUEYHXRFI-WDSKDSINSA-N
DB04701	S-METHYL-GLUTATHIONE	QTQDDTSVRVWHMO-BQBZGAKWSA-N
DB04702	S-[(2E)-37-DIMETHYLOCTA-26-DIENYL] TRIHYDROGENTHIODIPHOSPHATE	AKIXWSDUEPPMKM-JXMROGBWSA-N
DB04703	Hesperidin	QUQPHWDTPGMPEX-QJBIFVCTSA-N
DB04704	20-hydroxycholesterol	MCKLJFJEQRYRQT-MGNSQDQZSA-N
DB04705	(3BETA)-CHOLEST-5-ENE-325-DIOL	INBGSXNNRGWLJU-ZHHJOTBYSA-N
DB04706	(3BETA7BETA)-CHOLEST-5-ENE-37-DIOL	OYXZMSRRJOYLLO-KGZHIOMZSA-N
DB04707	Hydroxyfasudil	ZAVGJDAFCZAWSZ-UHFFFAOYSA-N
DB04708	(S)-TETRAHYDROFURAN-3-YL (2S3S)-4-((S)-4-((1R3R)-3-(2-AMINO-2-OXOETHYL)-23-DIHYDRO-1H-INDEN-1-YL)-2-BENZYL-3-OXO-23-DIHYDRO-1H-PYRROL-2-YL)-3-HYDROXY-1-PHENYLBUTAN-2-YLCARBAMATE	SYNSHNDQFWMLJW-YZGRCXSVSA-N
DB04709	(3AALPHA4ALPHA7ALPHA7AALPHA)- 3A477A-TETRAHYDRO-2-(4-NITRO-1-NAPHTHALENYL)-47-ETHANO-1H-ISOINDOLE-13(2H)-DIONE	DEJXHCDDTLTVNB-FRVJLOGJSA-N
DB04710	(E)-(S)-4-[(S)-4-METHYL-2-((S)-3-METHYL-2{(S)-2-[(5-METHYL-ISOXAZOLE-3- CARBONYL)-AMINO]-PROPIONYLAMINO}-BUTYRYLAMINO)-PENTANOYLAMINO]-5-((S)-2- OXO-PYRROLIDIN-3-YL)-PENT-2-ENOIC ACID ETHYL ESTER	LIVSSCDUYUOZEL-GLXPMXKMSA-N
DB04711	Iodipamide	FFINMCNLQNTKLU-UHFFFAOYSA-N
DB04712	ANILINOMETHYL GLUCO-PHENYLIMIDAZOLE	ADKWVGPRAQKVKB-YIYPIFLZSA-N
DB04713	4-Iodo-D-phenylalanine	PZNQZSRPDOEBMS-MRVPVSSYSA-N
DB04714	ISOPENTENYL PYROPHOSPHATE	NUHSROFQTUXZQQ-UHFFFAOYSA-N
DB04715	IMIDAZOPYRIDAZIN 1	IVUBNTNWKIPCPS-UHFFFAOYSA-N
DB04716	2-(11-DIMETHYLETHYL)9-FLUORO-36-DIHYDRO-7H-BENZ[H]-IMIDAZ[45-F]ISOQUINOLIN-7-ONE	VNDWQCSOSCCWIP-UHFFFAOYSA-N
DB04717	2''-O-[N-(3-(aminopropyl)2-aminoethyl]paromomycin	FJVLHNJZMYGVLT-XXJRHLBLSA-N
DB04718	(1R2R3S4R6S)-46-diamino-2-{[3-O-(26-diamino-26-dideoxy-beta-L-idopyranosyl)-2-O-{2-[(piperidin-3-ylmethyl)amino]ethyl}-beta-D-ribofuranosyl]oxy}-3-hydroxycyclohexyl 2-amino-2-deoxy-alpha-D-glucopyranoside	AHJDGUQMOYBKDU-NSCPTEJBSA-N
DB04719	DIMETHYL-(4567-TETRABROMO-1H-BENZOIMIDAZOL-2-YL)-AMINE	SLPJGDQJLTYWCI-UHFFFAOYSA-N
DB04720	S-METHYL-4567-TETRABROMO-BENZIMIDAZOLE	ZIGJZZDDPXRGTL-UHFFFAOYSA-N
DB04721	N1N2-ETHYLENE-2-METHYLAMINO-4567-TETRABROMO-BENZIMIDAZOLE	QHCZROILDUNGRT-UHFFFAOYSA-N
DB04722	2-(3-CHLORO-6-{[22-DIFLUORO-2-(1-OXIDOPYRIDIN-2-YL)ETHYL]AMINO}-1-OXIDOPYRIDIN-2-YL)-N-[1-(3-CHLOROPHENYL)ETHYL]ACETAMIDE	ISTCYDGUBPNUDF-CQSZACIVSA-N
DB04723	2-(3-GUANIDINOPHENYL)-3-MERCAPTOPROPANOIC ACID	YHBCRXAIIVZWEW-MRVPVSSYSA-N
DB04724	(S)-2-((S)-3-ISOBUTYL-25-DIOXO-4-QUINOLIN-3-YLMETHYL-[14]DIAZEPAN-1YL)-N-METHYL-3-NAPHTALEN-2-YL-PROPIONAMIDE	COVPLULNDBDXTN-KYJUHHDHSA-N
DB04725	Licofelone	UAWXGRJVZSAUSZ-UHFFFAOYSA-N
DB04726	7810-TRIMETHYLBENZO[G]PTERIDINE-24(3H10H)-DIONE	KPDQZGKJTJRBGU-UHFFFAOYSA-N
DB04727	N-(4-{4-AMINO-6-[4-(METHYLOXY)PHENYL]FURO[23-D]PYRIMIDIN-5-YL}PHENYL)-N'-[2-FLUORO-5-(TRIFLUOROMETHYL)PHENYL]UREA	FGZIONRFHVNRJB-UHFFFAOYSA-N
DB04728	Lividomycin A	DBLVDAUGBTYDFR-SWMBIRFSSA-N
DB04729	Gentamicin C1a	VEGXETMJINRLTH-BOZYPMBZSA-N
DB04731	1-ACETYL-2-LYSO-SN-GLYCERO-3-PHOSPHOETHANOLAMINE	CWRILEGKIAOYKP-ZETCQYMHSA-O
DB04732	N-(4-MORPHOLINE)CARBONYL-B-(1-NAPHTHYL)-L-ALANINE-L-LEUCINE BORONIC ACID	MQMHIOPMTAJOHV-RTWAWAEBSA-N
DB04733	16-DI-O-PHOSPHONO-D-MANNITOL	WOYYTQHMNDWRCW-KVTDHHQDSA-N
DB04734	Citraconic acid	HNEGQIOMVPPMNR-IHWYPQMZSA-N
DB04735	MONOGALACTOSYL-DIACYLGLYCEROL	FIJGNIAJTZSERN-DQQGJSMTSA-N
DB04736	2-ACETAMIDO-2-DEOXY-BETA-D-GLUCOPYRANOSE(BETA1-4)-2-ACETAMIDO-16-ANHYDRO-3-O-[(R)-1-CARBOXYETHYL]-2-DEOXY-BETA-D-GLUCOPYRANOSE-L-ALANYL-GAMMA-D-GLUTAMYL-MESO-DIAMINOPIMELYL-D-ALANINE	UPFMKPIBAIPLHT-RSJSDIDPSA-N
DB04737	(S)-HYDROXY(PHENYL)ACETONITRILE	NNICRUQPODTGRU-MRVPVSSYSA-N
DB04738	Motuporin	GIRIHYQVGVTBIP-NJYUBDSESA-N
DB04739	4-[(4-METHYL-1-PIPERAZINYL)METHYL]-N-[3-[[4-(3-PYRIDINYL)-2-PYRIMIDINYL]AMINO]PHENYL]-BENZAMIDE	JHMBUEWQJDGKGS-UHFFFAOYSA-N
DB04740	MOXALACTAM (HYDROLYZED)	ZTOQXKUYWZBJLG-XNAIMREJSA-N
DB04741	Myxothiazol	XKTFQMCPGMTBMD-FYHMSGCOSA-N
DB04742	(2R)-2-{(1R)-2-oxo-1-[(2-thienylacetyl)amino]ethyl}-56-dihydro-2h-13-thiazine-4-carboxylic acid	QIZKCGBBVPUBJL-ZYHUDNBSSA-N
DB04743	Nimesulide	HYWYRSMBCFDLJT-UHFFFAOYSA-N
DB04744	Lawsone	CSFWPUWCSPOLJW-UHFFFAOYSA-N
DB04745	2-OXOQUINOLINE	LISFMEBWQUVKPJ-UHFFFAOYSA-N
DB04746	(10E12Z)-octadecadienoic acid	GKJZMAHZJGSBKD-NMMTYZSQSA-N
DB04747	11-TRANS-13-TRANS-15-CIS-OCTADECATRIENOIC ACID	ZSXWVPXJLXTOQQ-ZRGCPWHVSA-N
DB04748	OXIMINOARYLSULFONAMIDE	PJLSJXTZOMOVBI-KKWNBLJUSA-N
DB04749	2-(3-OXO-PROPYLSULFANYLCARBONYL)-ETHANETHIOLATE	LHLHVBHXBHTTIV-UHFFFAOYSA-M
DB04750	OREGON GREEN 488 CARBOXYLATE	BRJCLSQFZSHLRL-UHFFFAOYSA-N
DB04751	Purvalanol A	PMXCMJLOPOFPBT-HNNXBMFYSA-N
DB04752	Phosphatidyl ethanol	PGYPLYNHOCZJEB-JSTCSLLMSA-N
DB04753	9-DEAZAINOSINE-2'3'-O-ETHYLIDENEPHOSPHONATE	ZOEDLCUBOBTIHG-USQSKNHBSA-N
DB04754	GUANOSINE-2'3'-O-ETHYLIDENEPHOSPHONATE	HYAPEMYRVFIHDJ-QWEIRQIHSA-N
DB04755	PROPYL-1-PHOSPHATE	GVQSIYRMPBGDCV-UHFFFAOYSA-N
DB04756	2-[(35-Dichloro-4-trioxidanylphenyl)amino]benzoic acid	SNAMTVTZDPUVRA-UHFFFAOYSA-N
DB04757	GUANOSINE-2'3'-O-METHYLIDENEPHOSPHONATE	GKAPYWCOOQBBHV-KXSYMAMXSA-N
DB04758	2-[2-ETHANESULFONYLAMINO-3-(1H-INDOL-3-YL)-PROPIONYLAMINO]-PENTANEDIOIC ACID 5-AMIDE 1-(4-CARBAMIM IDOYL-BENZYLAMIDE)	FJGWLOKDOKYXMU-FCHUYYIVSA-N
DB04759	PYRIMIDINE-46-DICARBOXYLIC ACID BIS-(3-METHYL-BENZYLAMIDE)	GTBUZLPQANSGGE-UHFFFAOYSA-N
DB04760	PYRIMIDINE-46-DICARBOXYLIC ACID BIS-(4-FLUORO-3-METHYL-BENZYLAMIDE)	PYFRREJCFXFNRR-UHFFFAOYSA-N
DB04761	PYRIMIDINE-46-DICARBOXYLIC ACID BIS-[(PYRIDIN-3-YLMETHYL)-AMIDE]	NHPBWKYFMTXWAA-UHFFFAOYSA-N
DB04762	N-PYRIDOXYL-D-GLUTAMIC ACID-5'-MONOPHOSPHATE	JMRKOGDJNHPMHS-SNVBAGLBSA-N
DB04763	1-N-(4-SULFAMOYLPHENYL-ETHYL)-246-TRIMETHYLPYRIDINIUM	UXBCHTZINZNVRG-UHFFFAOYSA-N
DB04764	[4-(3-AMINOMETHYL-PHENYL)-PIPERIDIN-1-YL]-(5-PHENETHYL- PYRIDIN-3-YL)-METHANONE	CCLHROFBSWWOQO-UHFFFAOYSA-N
DB04765	N-PYRIDOXYL-2-METHYL-L-GLUTAMIC ACID-5'-MONOPHOSPHATE	CNIVMJHNGQZEAY-AWEZNQCLSA-N
DB04767	N-[1-(4-CARBAMIMIDOYL-BENZYLCARBAMOYL)-3-METHYLSULFANYL-PROPYL]-3-HYDROXY-2-PROPOXYAMINO-BUTYRAMID	AIIJKVORRBMJHS-RRQGHBQHSA-N
DB04768	Pyrithiamine Pyrophosphate	ZHKSTKOYQKNDSJ-UHFFFAOYSA-O
DB04769	5-QUINOXALIN-6-YLMETHYLENE-THIAZOLIDINE-24-DIONE	SQWZFLMPDUSYGV-POHAHGRESA-N
DB04770	O6-(R)-ROSCOVITINE R-2-(6-BENZYLOXY-9-ISOPROPYL-9H-PURIN-2-YLAMINO)-BUTAN-1-OL	HGADNQLEUZSUEJ-OAHLLOKOSA-N
DB04771	1-GUANIDINO-4-(N-NITRO-BENZOYLAMINO-L-LEUCYL-L-PROLYLAMINO)BUTANE	FIZYZWLGMGGGBJ-OALUTQOASA-N
DB04772	1-GUANIDINO-4-(N-PHENYLMETHANESULFONYL-L-LEUCYL-L-PROLYLAMINO)BUTANE	DSVCYWOHJLRGMK-PMACEKPBSA-N
DB04773	METHYL (3R)-3-{[(3R)-3-{[(3R)-3-HYDROXYBUTANOYL]OXY}BUTANOYL]OXY}BUTANOATE	WGAHBMKAEWUQKL-OPRDCNLKSA-N
DB04774	Reidispongiolide A	LOYDTENNTZZQJM-DIUYYEMASA-N
DB04775	Reidispongiolide C	QTLSHCJDXCYLJK-VRWAWWQJSA-N
DB04776	(2R)-2-({6-[benzyl(methyl)amino]-9-isopropyl-9H-purin-2-yl}amino)butan-1-ol	YPYWONAECUVKHY-MRXNPFEDSA-N
DB04777	(R)-4-Nitrostyrene oxide	YKIUTLHCSNCTDZ-QMMMGPOBSA-N
DB04778	SC45647	LPSXGZAUAOMRNU-FZKQIMNGSA-N
DB04779	ETHYL (1E)-2-PHENYL-N-(SULFOOXY)ETHANIMIDOTHIOATE	VZFUNHITNWTQFU-KHPPLWFESA-N
DB04780	Sulfatide	QTTLKKFUOJQIRB-JOLIRYOJSA-N
DB04781	5-hydroxyvaleric acid	PHOJOSOUIAQEDH-UHFFFAOYSA-N
DB04782	(S)-4-Nitrostyrene oxide	YKIUTLHCSNCTDZ-MRVPVSSYSA-N
DB04783	Sphinxolide B	MINVLQAHLUCDIO-GLLDUQGXSA-N
DB04784	(R)-1-phenylethanol	WAPNOHKVXSQRPX-SSDOTTSWSA-N
DB04785	Streptolydigin	KVTPRMVXYZKLIG-NCAOFHFGSA-N
DB04786	Suramin	FIAFUQMPZJWCLV-UHFFFAOYSA-N
DB04787	Tanaproget	PYVFWTPEBMRKSR-UHFFFAOYSA-N
DB04788	Tagetitoxin	UVAAUIDYGIWLMB-HGNFPZBQSA-N
DB04789	5-methyltetrahydrofolic acid	ZNOVTXRBGFNYRX-ABLWVSNPSA-N
DB04790	25-bis-O-{3-[amino(imino)methyl]phenyl}-14:36-dianhydro-D-glucitol	IBIUTOFGXGGVKQ-XMTFNYHQSA-N
DB04791	2-O-(4'-AMIDINOPHENYL)-5-O-(3''-AMIDINOPHENYL)-14:36-DIANHYDRO-D-SORBITOL	DKBAWRNTUZFJKV-BSDSXHPESA-N
DB04792	25-OO-BIS-{4'4''-AMIDINOPHENYL}-14:36-DIANHYDRO-D-SORBITOL	CDEVHSIVANGYRI-XMTFNYHQSA-N
DB04793	14:36-Dianhydro-2-O-(3-carbamimidoylphenyl)-5-O-(4-carbamimidoylphenyl)-D-glucitol	DKBAWRNTUZFJKV-XMTFNYHQSA-N
DB04794	Bifonazole	OCAPBUJLXMYKEJ-UHFFFAOYSA-N
DB04795	Thenoyltrifluoroacetone	TXBBUSUXYMIVOS-UHFFFAOYSA-N
DB04796	Inecalcitol	HHGRMHMXKPQNGF-WNSNRMDMSA-N
DB04797	Triazolopyridine	OVCXRBARSPBVMC-UHFFFAOYSA-N
DB04798	THIO-ATPA	FHWOAQCPEFTDOQ-LURJTMIESA-N
DB04799	6-Hydroxy-5-undecyl-47-benzothiazoledione	QCWGBMWYLYKEIU-UHFFFAOYSA-N
DB04800	1-METHYL-3-PHENYL-1H-PYRAZOL-5-YLSULFAMIC ACID	OTZLVSGSRPNRFT-UHFFFAOYSA-N
DB04801	cis-Vaccenic acid	UWHZIFQPPBDJPM-FPLPWBNLSA-N
DB04802	D-ERITHRO-23-DIAMINO-BUTYRIC ACID	SXGMVGOVILIERA-PWNYCUMCSA-N
DB04803	Verdoheme	UBHGDCVUOWXYCX-UHFFFAOYSA-M
DB04804	L-threo-23-diamino-butyric acid	SXGMVGOVILIERA-GBXIJSLDSA-N
DB04805	Virginiamycin S1	FEPMHVLSLDOMQC-IYPFLVAKSA-N
DB04806	(5-BROMO-4-CHLORO-3-INDOLYL)-A-D-MANNOSE	OPIFSICVWOWJMJ-HAAGFXOZSA-N
DB04807	4-NITROPHENYL-(6-S-ALPHA-D-XYLOPYRANOSYL)-BETA-D-GLUCOPYRANOSIDE	HQYVHBCTLFPWRQ-ZMFOIVQCSA-N
DB04808	Neamine	SYJXFKPQNSDJLI-HKEUSBCWSA-N
DB04809	SALOPHEN-10-PROPIONATE IRON CHELATE	WYZUQFGBWINJOI-KVUHSHOZSA-L
DB04810	Salophen-10-carboxylate iron chelate	AYPNHSRYHHHKFU-HPUGBGFMSA-L
DB04811	Salophen iron chelate	BSPYTUHYTMXMCB-JKBLJYNNSA-L
DB04812	Benoxaprofen	MITFXPHMIHQXPI-UHFFFAOYSA-N
DB04813	Bithionol	JFIOVJDNOJYLKP-UHFFFAOYSA-N
DB04814	Bunamiodyl	CWRBDUIQDIHWJZ-SOFGYWHQSA-N
DB04815	Clioquinol	QCDFBFJGMNKBDO-UHFFFAOYSA-N
DB04816	Dantron	QBPFLULOKWLNNW-UHFFFAOYSA-N
DB04817	Metamizole	LVWZTYCIRDMTEY-UHFFFAOYSA-N
DB04818	Iproniazid	NYMGNSNKLVNMIA-UHFFFAOYSA-N
DB04819	Methapyrilene	HNJJXZKZRAWDPF-UHFFFAOYSA-N
DB04820	Nialamide	NOIIUHRQUVNIDD-UHFFFAOYSA-N
DB04821	Nomifensine	XXPANQJNYNUNES-UHFFFAOYSA-N
DB04822	Oxeladin	IQADUMSPOQKAAO-UHFFFAOYSA-N
DB04823	Oxyphenisatin	SJDACOMXKWHBOW-UHFFFAOYSA-N
DB04824	Phenolphthalein	KJFMBFZCATUALV-UHFFFAOYSA-N
DB04825	Prenylamine	IFFPICMESYHZPQ-UHFFFAOYSA-N
DB04826	Thenalidine	KLOHYVOVXOUKQI-UHFFFAOYSA-N
DB04827	Urethane	JOYRKODLDBILNP-UHFFFAOYSA-N
DB04828	Zomepirac	ZXVNMYWKKDOREA-UHFFFAOYSA-N
DB04829	Lysergic acid diethylamide	VAYOSLLFUXYJDT-RDTXWAMCSA-N
DB04830	Buformin	XSEUMFJMFFMCIU-UHFFFAOYSA-N
DB04831	Tienilic acid	AGHANLSBXUWXTB-UHFFFAOYSA-N
DB04832	Zimelidine	OYPPVKRFBIWMSX-SXGWCWSVSA-N
DB04833	Methaqualone	JEYCTXHKTXCGPB-UHFFFAOYSA-N
DB04834	Rapacuronium	HTIKWNNIPGXLGM-YLINKJIISA-N
DB04835	Maraviroc	GSNHKUDZZFZSJB-QYOOZWMWSA-N
DB04836	Amineptine	ONNOFKFOZAJDHT-UHFFFAOYSA-N
DB04837	Clofedanol	WRCHFMBCVFFYEQ-UHFFFAOYSA-N
DB04838	Cyclandelate	WZHCOOQXZCIUNC-UHFFFAOYSA-N
DB04839	Cyproterone acetate	UWFYSQMTEOIJJG-FDTZYFLXSA-N
DB04840	Debrisoquine	JWPGJSVJDAJRLW-UHFFFAOYSA-N
DB04841	Flunarizine	SMANXXCATUTDDT-QPJJXVBHSA-N
DB04842	Fluspirilene	QOYHHIBFXOOADH-UHFFFAOYSA-N
DB04843	Mepenzolate	GKNPSSNBBWDAGH-UHFFFAOYSA-N
DB04844	Tetrabenazine	MKJIEFSOBYUXJB-UHFFFAOYSA-N
DB04845	Ixabepilone	FABUFPQFXZVHFB-PVYNADRNSA-N
DB04846	Celiprolol	JOATXPAWOHTVSZ-UHFFFAOYSA-N
DB04847	Roxadustat	YOZBGTLTNGAVFU-UHFFFAOYSA-N
DB04849	Cediranib	XXJWYDDUDKYVKI-UHFFFAOYSA-N
DB04850	Posizolid	HBUJYEUPIIJJOS-PBHICJAKSA-N
DB04851	Biricodar	CGVWPQOFHSAKRR-NDEPHWFRSA-N
DB04852	Implitapide	AMNXBQPRODZJQR-DITALETJSA-N
DB04853	Binodenoson	XJFMHMFFBSOEPR-DNZQAUTHSA-N
DB04854	Febuxostat	BQSJTQLCZDPROO-UHFFFAOYSA-N
DB04855	Dronedarone	ZQTNQVWKHCQYLQ-UHFFFAOYSA-N
DB04856	Dexloxiglumide	QNQZBKQEIFTHFZ-GOSISDBHSA-N
DB04857	Brasofensine	NRLIFEGHTNUYFL-QJDHNRDASA-N
DB04858	Tirapazamine	ORYDPOVDJJZGHQ-UHFFFAOYSA-N
DB04859	Zanapezil	PMBLXLOXUGVTGB-UHFFFAOYSA-N
DB04860	Isatoribine	TZYVRXZQAWPIAB-FCLHUMLKSA-N
DB04861	Nebivolol	KOHIRBRYDXPAMZ-UHFFFAOYSA-N
DB04862	Merimepodib	JBPUGFODGPKTDW-SFHVURJKSA-N
DB04863	Lefradafiban	PGCFXITVMNNKON-ROUUACIJSA-N
DB04864	Huperzine A	ZRJBHWIHUMBLCN-YQEJDHNASA-N
DB04865	Omacetaxine mepesuccinate	HYFHYPWGAURHIV-JFIAXGOJSA-N
DB04866	Halofuginone	LVASCWIMLIKXLA-CABCVRRESA-N
DB04867	Lintitript	ILNRQFBVVQUOLP-UHFFFAOYSA-N
DB04868	Nilotinib	HHZIURLSWUIHRB-UHFFFAOYSA-N
DB04869	Olcegepant	ITIXDWVDFFXNEG-JHOUSYSJSA-N
DB04870	Oleoyl-estrone	IMIPDPVHGGHVNH-YWVHRCQQSA-N
DB04871	Lorcaserin	XTTZERNUQAFMOF-QMMMGPOBSA-N
DB04872	Osanetant	DZOJBGLFWINFBF-UMSFTDKQSA-N
DB04873	Piboserod	KVCSJPATKXABRQ-UHFFFAOYSA-N
